"","PA","Age","yr2_PA","yr2_Age","change_wRC_CON","change_zscore","change_zscore_everyday","PA_ave","age_cohort"
"66",587,23,463,24,-0.033,-0.619849875860453,-2.4966651784178,525,"23-24"
"67",468,23,491,24,-0.024,-0.237217988738048,-1.51229621496689,479.5,"23-24"
"68",629,23,632,24,-0.021,-0.26198305129116,-0.848427675609543,630.5,"23-24"
"69",572,23,672,24,-0.029,-0.296560868801461,-1.72403732776211,622,"23-24"
"70",517,23,685,24,0.031,0.31105509375123,1.52893037686489,601,"23-24"
"71",589,23,625,24,0.004,-0.0341956043878525,-0.0396117875260242,607,"23-24"
"72",442,23,413,24,-0.052,-0.540234665545106,-2.60817339386988,427.5,"23-24"
"73",454,23,580,24,0.005,0.169974521211252,0.556675062073376,517,"23-24"
"74",648,23,735,24,0.001,0.0266106786853801,-0.0667828961829217,691.5,"23-24"
"75",426,23,340,24,-0.013,-0.280139027749963,-0.965357547419726,383,"23-24"
"76",720,23,718,24,-0.003,-0.0153112789011917,0.0214965358091904,719,"23-24"
"77",713,23,705,24,0.00800000000000001,0.163406601852227,0.882279587607801,709,"23-24"
"78",703,23,765,24,-0.011,-0.0811712378127369,-0.29503266894219,734,"23-24"
"79",570,23,632,24,0.037,0.323459859006083,1.65027942371144,601,"23-24"
"80",676,23,680,24,0.00700000000000001,0.109211277266188,0.640475371811105,678,"23-24"
"81",608,23,471,24,0.004,0.0728441635623324,0.371042971911399,539.5,"23-24"
"82",635,23,587,24,-0.023,-0.313675147426838,-1.52429047807222,611,"23-24"
"83",460,23,519,24,0.026,0.33719645943237,1.72394497146793,489.5,"23-24"
"84",416,23,613,24,0.003,0.0934224217760453,0.583583581026293,514.5,"23-24"
"85",467,23,560,24,-0.003,-0.00146622792729079,0.000556972154611923,513.5,"23-24"
"86",751,23,748,24,-0.015,-0.125114943806079,-0.542987248114847,749.5,"23-24"
"87",374,23,341,24,0.024,0.293133141753578,1.41903782101376,357.5,"23-24"
"88",631,23,448,24,0.00800000000000001,0.00652912842782327,-0.097640405649521,539.5,"23-24"
"89",561,23,687,24,0.001,0.0662480726741782,0.101778530199868,624,"23-24"
"90",434,23,470,24,-0.03,-0.264576196401762,-1.57300457383463,452,"23-24"
"91",508,23,669,24,0.064,0.70854353410558,3.51611237672218,588.5,"23-24"
"92",492,23,663,24,0.00800000000000001,0.143794549064376,0.35769033369796,577.5,"23-24"
"93",690,23,616,24,-0.024,-0.205979437826511,-0.971777077732334,653,"23-24"
"94",680,23,547,24,0.00900000000000001,0.165607802830129,0.818676266424326,613.5,"23-24"
"95",421,23,628,24,0.00600000000000001,0.0429203838117175,0.331825939376361,524.5,"23-24"
"96",578,23,444,24,-0.037,-0.357077359826877,-1.66857978528012,511,"23-24"
"97",661,23,711,24,-0.044,-0.433933387525774,-2.10138741262533,686,"23-24"
"98",624,23,699,24,-0.025,-0.210300927002305,-1.34227669947489,661.5,"23-24"
"99",543,23,473,24,-0.011,-0.0950138152512561,-0.376074919176037,508,"23-24"
"100",453,23,540,24,-0.005,-0.072909322040868,-0.284289192542895,496.5,"23-24"
"101",518,23,505,24,0.023,0.306899648574109,1.65957870723578,511.5,"23-24"
"102",466,23,694,24,-0.014,-0.16901721140771,-0.758329081899027,580,"23-24"
"103",491,23,439,24,0.071,0.686226583054344,3.49017868762795,465,"23-24"
"104",705,23,569,24,0,0.0597238559959267,0.29225103964985,637,"23-24"
"105",681,23,694,24,0.012,0.184654561845169,0.652328474978825,687.5,"23-24"
"106",468,23,620,24,0.026,0.306079397687767,1.52779632287088,544,"23-24"
"107",481,23,553,24,0.035,0.415101502366008,1.72738378773541,517,"23-24"
"108",696,23,653,24,-0.00900000000000001,-0.0400544832321542,-0.45631161619157,674.5,"23-24"
"109",552,23,573,24,-0.002,0.035244010265463,-0.103765415021507,562.5,"23-24"
"110",614,23,514,24,0.011,0.149855702308642,0.769813123725911,564,"23-24"
"111",589,23,607,24,-0.031,-0.288665039548014,-1.38400046281596,598,"23-24"
"112",440,23,649,24,-0.021,-0.182740222317129,-0.897480593729839,544.5,"23-24"
"113",504,23,638,24,0.011,0.188806147942829,0.932878108115176,571,"23-24"
"114",640,23,626,24,0.021,0.204220576012354,1.09672883967774,633,"23-24"
"115",601,23,571,24,-0.025,-0.211175142571643,-1.3046966559358,586,"23-24"
"116",674,23,628,24,-0.024,-0.257395851580697,-1.39067892078428,651,"23-24"
"117",629,23,708,24,-0.00999999999999998,-0.055895021110808,-0.275628934012987,668.5,"23-24"
"118",616,23,466,24,-0.001,-0.000590694617687015,0.0582609839099171,541,"23-24"
"119",672,23,707,24,0.00800000000000001,0.145433115768219,0.689602945376417,689.5,"23-24"
"120",416,23,307,24,-0.019,-0.18937673004116,-0.897377410857595,361.5,"23-24"
"121",657,23,667,24,0.028,0.277477321178698,1.49897797401096,662,"23-24"
"122",710,23,697,24,-0.017,-0.126083142671186,-0.860371969882022,703.5,"23-24"
"123",623,23,557,24,-0.003,0.0260448836971676,0.130335981487812,590,"23-24"
"124",407,23,606,24,0.02,0.141382448497546,0.713829260381738,506.5,"23-24"
"125",552,23,598,24,0.00600000000000001,0.0776206312162487,0.412677928734721,575,"23-24"
"126",433,23,534,24,-0.037,-0.413261205477853,-2.00042343156743,483.5,"23-24"
"127",519,23,621,24,-0.021,-0.161915900432178,-0.712055925718095,570,"23-24"
"128",461,23,396,24,0.00800000000000001,0.116787869555674,0.618997551084056,428.5,"23-24"
"129",484,23,559,24,0.032,0.397821669380979,1.74435016834371,521.5,"23-24"
"130",526,23,606,24,0.03,0.404343396575551,1.97711555188989,566,"23-24"
"131",672,23,678,24,-0.039,-0.363700025394111,-1.62901242805905,675,"23-24"
"132",333,23,551,24,0.00399999999999998,0.0544193379333634,0.304262121329017,442,"23-24"
"133",414,23,613,24,-0.00900000000000001,-0.039492487509009,-0.480470215609563,513.5,"23-24"
"134",706,23,693,24,-0.005,0.00199196496416731,-0.212674962570912,699.5,"23-24"
"135",426,23,466,24,0.013,0.173085576213973,0.893041935413112,446,"23-24"
"136",581,23,726,24,0.015,0.215908400130838,0.847135264903314,653.5,"23-24"
"137",393,23,493,24,0,0.00853730800344776,0.0917850075776409,443,"23-24"
"138",711,23,698,24,-0.005,-0.0315419991845303,-0.128672000747838,704.5,"23-24"
"139",498,23,557,24,-0.005,-0.0456918895938215,-0.147684378251421,527.5,"23-24"
"140",397,23,489,24,-0.044,-0.487055280098178,-2.16925947513705,443,"23-24"
"141",671,23,661,24,-0.014,-0.100131295269384,-0.266554624503262,666,"23-24"
"142",467,23,440,24,0.013,0.0653437484078785,0.334510660045824,453.5,"23-24"
"143",653,23,678,24,0.00700000000000001,0.0903925302883635,0.476683459822633,665.5,"23-24"
"144",675,23,668,24,0.022,0.260367915982131,1.25605463215019,671.5,"23-24"
"145",573,23,664,24,-0.018,-0.186219302374453,-0.766385730452956,618.5,"23-24"
"146",534,23,526,24,-0.003,-0.0172850299523939,0.00427643975455028,530,"23-24"
"147",658,23,576,24,-0.064,-0.669200643166977,-3.24955544196651,617,"23-24"
"148",433,23,449,24,-0.016,-0.252328912284231,-1.22240588368625,441,"23-24"
"149",448,23,500,24,0.002,-0.208718768350584,-0.931073851075769,474,"23-24"
"150",668,23,655,24,-0.018,-0.243848763299969,-0.907725468501933,661.5,"23-24"
"151",420,23,360,24,-0.022,-0.27296537056396,-0.993240129589366,390,"23-24"
"152",438,23,604,24,0.011,0.0820720708629183,0.515925648882874,521,"23-24"
"153",619,23,661,24,0.00600000000000001,0.1423264557322,0.910399024616168,640,"23-24"
"154",507,23,429,24,0.00900000000000001,0.0395312367474887,0.0529030110367199,468,"23-24"
"155",496,23,515,24,0.029,0.280468371792255,1.04950752507926,505.5,"23-24"
"156",705,23,627,24,-0.00800000000000001,-0.358196168320029,-1.51017296353456,666,"23-24"
"157",482,23,463,24,-0.04,-0.603579567537523,-2.23896633235534,472.5,"23-24"
"158",685,23,610,24,0.018,0.170112918828902,0.575882750780278,647.5,"23-24"
"159",628,23,651,24,0.026,0.305656190298123,1.02428428893382,639.5,"23-24"
"160",415,23,654,24,-0.00899999999999998,-0.158867320987195,-0.768566504078782,534.5,"23-24"
"161",662,23,672,24,0.00800000000000001,0.081245040797234,0.25101627376452,667,"23-24"
"162",525,23,233,24,-0.024,-0.390224588857883,-1.52828613831148,379,"23-24"
"163",595,23,607,24,-0.027,-0.176535464606156,-0.875243655607893,601,"23-24"
"164",688,23,576,24,-0.022,-0.33848326529493,-1.5656784053725,632,"23-24"
"165",515,23,601,24,0,-0.0365220078438954,-0.207984752073313,558,"23-24"
"166",598,23,524,24,0.011,0.224151593884583,0.941674076244563,561,"23-24"
"167",588,23,689,24,-0.013,0.0900993044803976,0.28253047336107,638.5,"23-24"
"168",692,23,670,24,0.00699999999999998,0.0305009867689175,0.216251237865673,681,"23-24"
"169",367,23,616,24,-0.017,-0.181441449646918,-0.467229858693522,491.5,"23-24"
"170",662,23,655,24,-0.01,0.0346800557276934,0.098028805121155,658.5,"23-24"
"171",577,23,391,24,0.015,-0.0212303433230906,-0.179652347915094,484,"23-24"
"172",634,23,483,24,-0.004,-0.18254971056802,-0.803300546006751,558.5,"23-24"
"173",507,23,671,24,0.002,-0.153560609724691,-0.66796538737553,589,"23-24"
"174",430,23,589,24,-0.03,-0.132217295712265,-0.595133769229667,509.5,"23-24"
"175",678,23,677,24,0.003,0.00202712528286597,-0.0438658024665362,677.5,"23-24"
"176",553,23,546,24,0.00600000000000001,0.113756949913412,0.484091800670416,549.5,"23-24"
