"","season","dat_sd","dat_mean"
"1",1974,0.072677859068445,0.166372781065089
"2",1975,0.0713903978084173,0.169965517241379
"3",1976,0.0698000789163145,0.166833836858006
"4",1977,0.0764268076418722,0.178978510028653
"5",1978,0.0709000097202073,0.17129403202329
"6",1979,0.0749513207603289,0.178593245227606
"7",1980,0.0702904806774885,0.177407355021216
"8",1981,0.0703856533303539,0.165047413793103
"9",1982,0.071670763084876,0.174900976290098
"10",1983,0.0724033719218396,0.173645690834473
"11",1984,0.0708752355131208,0.1729625
"12",1985,0.0738288244990116,0.173935988620199
"13",1986,0.0742245005468457,0.1783608815427
"14",1987,0.0795584823828424,0.182845430107527
"15",1988,0.0744429746673354,0.168163407821229
"16",1989,0.0733835649228518,0.167382513661202
"17",1990,0.0771277937312397,0.169424324324324
"18",1991,0.0765358490281506,0.168618857901726
"19",1992,0.0722716113234877,0.170033333333333
"20",1993,0.0787270581465009,0.179212974296206
"21",1994,0.0843619978620661,0.190431944444444
"22",1995,0.0873427197690335,0.178127892813642
"23",1996,0.0853208381855979,0.183881785283474
"24",1997,0.0932076471890264,0.166922907488987
"25",1998,0.0945072830589751,0.164193181818182
"26",1999,0.094767972424762,0.177524008350731
"27",2000,0.0978189676509047,0.173847803881512
"28",2001,0.0929960677960705,0.168644032921811
"29",2002,0.0908816984272651,0.169032665964173
"30",2003,0.0934723140143061,0.164809720785936
"31",2004,0.0962353320954879,0.169404984423676
"32",2005,0.0923112564602982,0.166463336875664
"33",2006,0.0953662419056945,0.170414194915254
"34",2007,0.0937407257714645,0.16877181913775
"35",2008,0.0931952036398951,0.164035605289929
"36",2009,0.0942128360290171,0.164976842105263
"37",2010,0.0892042424219236,0.164429025423729
"38",2011,0.0871801009264398,0.165263383297645
"39",2012,0.0899661487047459,0.161552549427679
"40",2013,0.0890763522529024,0.160009493670886
"41",2014,0.0862130462446273,0.15736747624076
"42",2015,0.0914812980717251,0.158729216152019
